radius_mean,texture_mean,area_mean,concavity_mean,concave points_mean,symmetry_mean,smoothness_mean
17.99,10.38,1001,0.3001,0.1471,0.2419,0.1184
20.57,17.77,1326,0.0869,0.07017,0.1812,0.08474
19.69,21.25,1203,0.1974,0.1279,0.2069,0.1096
11.42,20.38,386.1,0.2414,0.1052,0.2597,0.1425
20.29,14.34,1297,0.198,0.1043,0.1809,0.1003
12.45,15.7,477.1,0.1578,0.08089,0.2087,0.1278
18.25,19.98,1040,0.1127,0.074,0.1794,0.09463
13.71,20.83,577.9,0.09366,0.05985,0.2196,0.1189
13,21.82,519.8,0.1859,0.09353,0.235,0.1273
12.46,24.04,475.9,0.2273,0.08543,0.203,0.1186
16.02,23.24,797.8,0.03299,0.03323,0.1528,0.08206
15.78,17.89,781,0.09954,0.06606,0.1842,0.0971
19.17,24.8,1123,0.2065,0.1118,0.2397,0.0974
15.85,23.95,782.7,0.09938,0.05364,0.1847,0.08401
13.73,22.61,578.3,0.2128,0.08025,0.2069,0.1131
14.54,27.54,658.8,0.1639,0.07364,0.2303,0.1139
14.68,20.13,684.5,0.07395,0.05259,0.1586,0.09867
16.13,20.68,798.8,0.1722,0.1028,0.2164,0.117
19.81,22.15,1260,0.1479,0.09498,0.1582,0.09831
13.54,14.36,566.3,0.06664,0.04781,0.1885,0.09779
13.08,15.71,520,0.04568,0.0311,0.1967,0.1075
9.504,12.44,273.9,0.02956,0.02076,0.1815,0.1024
15.34,14.26,704.4,0.2077,0.09756,0.2521,0.1073
21.16,23.04,1404,0.1097,0.08632,0.1769,0.09428
16.65,21.38,904.6,0.1525,0.0917,0.1995,0.1121
17.14,16.4,912.7,0.2229,0.1401,0.304,0.1186
14.58,21.53,644.8,0.1425,0.08783,0.2252,0.1054
18.61,20.25,1094,0.149,0.07731,0.1697,0.0944
15.3,25.27,732.4,0.1683,0.08751,0.1926,0.1082
17.57,15.05,955.1,0.09875,0.07953,0.1739,0.09847
18.63,25.11,1088,0.2319,0.1244,0.2183,0.1064
11.84,18.7,440.6,0.1218,0.05182,0.2301,0.1109
